Sun Mar  8 13:40:22 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 13 bajta
Sun Mar  8 13:40:24 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 11 bajta
Sun Mar  8 13:40:28 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 12 bajta
Sun Mar  8 13:40:36 2020 | [-]Klijent: mirko, fd->4, ip->192.168.1.5 je prekinuo konekciju
Sun Mar  8 13:40:37 2020 | [-]Klijent: mirko, fd->5, ip->192.168.1.5 je prekinuo konekciju
Sun Mar  8 13:43:33 2020 | [!]Prihvacena konekcija klijent: mirko, 192.168.1.5, 4
Sun Mar  8 13:43:40 2020 | [!]Prihvacena konekcija klijent: mirko, 192.168.1.5, 5
Sun Mar  8 13:43:43 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 10 bajta
Sun Mar  8 13:43:49 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 10 bajta
Sun Mar  8 13:43:52 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 13 bajta
Sun Mar  8 13:43:56 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 10 bajta
Sun Mar  8 13:44:01 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 20 bajta
Sun Mar  8 13:44:03 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 12 bajta
Sun Mar  8 13:44:04 2020 | [-]Klijent: mirko, fd->4, ip->192.168.1.5 je prekinuo konekciju
Sun Mar  8 13:44:05 2020 | [-]Klijent: mirko, fd->5, ip->192.168.1.5 je prekinuo konekciju
Sun Mar  8 13:46:51 2020 | [!]Prihvacena konekcija klijent: mirko, 192.168.1.5, 4
Sun Mar  8 13:46:57 2020 | [!]Prihvacena konekcija klijent: mirko, 192.168.1.5, 5
Sun Mar  8 13:47:00 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 8 bajta
Sun Mar  8 13:47:00 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 7 bajta
Sun Mar  8 13:47:10 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 10 bajta
Sun Mar  8 13:47:12 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 10 bajta
Sun Mar  8 13:47:15 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 13 bajta
Sun Mar  8 13:47:17 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 11 bajta
Sun Mar  8 13:47:21 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 18 bajta
Sun Mar  8 13:47:34 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 10 bajta
Sun Mar  8 13:47:37 2020 | [-]Klijent: mirko, fd->5, ip->192.168.1.5 je prekinuo konekciju
Sun Mar  8 13:47:38 2020 | [-]Klijent: mirko, fd->4, ip->192.168.1.5 je prekinuo konekciju
Sun Mar  8 13:57:08 2020 | [!]Novi user! U_ERR -> 192.168.1.5!
Sun Mar  8 13:57:14 2020 | [!]Saljem U_ERR flag -> 192.168.1.5, miki je zauzeto!
Sun Mar  8 13:57:18 2020 | [+]Novi user upisan u databazu: mirko -> 192.168.1.5
Sun Mar  8 13:57:21 2020 | [!]Prihvacena konekcija klijent: mirko, 192.168.1.5, 4
Sun Mar  8 13:57:21 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 7 bajta
Sun Mar  8 13:58:02 2020 | [!]Novi user! U_ERR -> 192.168.1.5!
Sun Mar  8 13:58:06 2020 | [+]Novi user upisan u databazu: miki
 -> 192.168.1.5
Sun Mar  8 13:58:09 2020 | [!]Prihvacena konekcija klijent: miki
, 192.168.1.5, 4
